ENST00000263100.8	A1BG	NM_130786.4
ENST00000397990.5	ANG	NM_001097577.3
ENST00000251089.8	ANGEL1	NM_015305.4
ENST00000366962.8	ANGEL2	NM_144567.5
ENST00000517746.6	ANGPT1	NM_001146.5
ENST00000629816.3	ANGPT2	NM_001118887.2
ENST00000381922.5	ANGPT4	NM_015985.4
ENST00000234816.7	ANGPTL1	NM_004673.4
ENST00000373425.8	ANGPTL2	NM_012098.3
ENST00000371129.4	ANGPTL3	NM_014495.4
ENST00000301455.7	ANGPTL4	NM_139314.3
ENST00000334289.7	ANGPTL5	NM_178127.5
ENST00000376819.4	ANGPTL7	NM_021146.4
ENST00000252453.12	ANGPTL8	NM_018687.7
ENST00000545940.6	ANHX	NM_001372060.1
ENST00000289734.13	ANK1	NM_000037.4
ENST00000357077.9	ANK2	NM_001148.6
ENST00000280772.7	ANK3	NM_020987.5
ENST00000319580.13	ANKDD1A	NM_182703.6
ENST00000601380.4	ANKDD1B	NM_001276713.2
ENST00000378392.6	ANKEF1	NM_022096.6
ENST00000341657.9	ANKFY1	NM_001330063.2
ENST00000284268.8	ANKH	NM_054027.6
ENST00000360839.7	ANKHD1	NM_017747.3
ENST00000265742.8	ANKIB1	NM_019004.2
ENST00000303941.4	ANKK1	NM_178510.2
ENST00000404085.7	ANKLE1	NM_152363.6
ENST00000357997.10	ANKLE2	NM_015114.3
ENST00000306999.7	ANKMY2	NM_020319.3
ENST00000296785.8	ANKRA2	NM_023039.5
ENST00000371697.4	ANKRD1	NM_014391.3
ENST00000267339.6	ANKRD10	NM_017664.4
ENST00000301030.10	ANKRD11	NM_013275.6
ENST00000262126.9	ANKRD12	NM_015208.5
ENST00000261739.9	ANKRD13A	NM_033121.2
ENST00000394859.8	ANKRD13B	NM_152345.5
ENST00000370944.9	ANKRD13C	NM_030816.5
ENST00000511455.7	ANKRD13D	NM_207354.3
ENST00000380094.10	ANKRD16	NM_019046.3
ENST00000358602.9	ANKRD17	NM_032217.5
ENST00000399703.6	ANKRD18A	NM_147195.4
ENST00000370655.6	ANKRD2	NM_001346793.2
ENST00000371930.5	ANKRD22	NM_144590.3
ENST00000318357.9	ANKRD23	NM_144994.8
ENST00000376087.5	ANKRD26	NM_014915.3
ENST00000306065.9	ANKRD27	NM_032139.3
ENST00000592179.6	ANKRD29	NM_173505.4
ENST00000409867.6	ANKRD30BL	NM_001358416.1
ENST00000506364.6	ANKRD31	NM_001372053.1
ENST00000301190.11	ANKRD33	NM_182608.4
ENST00000296657.7	ANKRD33B	NM_001164440.2
ENST00000606888.3	ANKRD34A	NM_001039888.4
ENST00000338682.8	ANKRD34B	NM_001004441.3
ENST00000355594.9	ANKRD35	NM_144698.5
ENST00000420699.9	ANKRD36	NM_001354587.1
ENST00000335174.6	ANKRD37	NM_181726.4
ENST00000393537.5	ANKRD39	NM_016466.6
ENST00000285243.7	ANKRD40	NM_052855.4
ENST00000450727.6	ANKRD40CL	NM_001358683.3
ENST00000533342.6	ANKRD42	NM_001300975.2
ENST00000282272.15	ANKRD44	NM_001195144.2
ENST00000333279.3	ANKRD45	NM_198493.3
ENST00000335659.7	ANKRD46	NM_001270377.2
ENST00000544612.6	ANKRD49	NM_017704.3
ENST00000504087.6	ANKRD50	NM_020337.3
ENST00000267116.8	ANKRD52	NM_173595.4
ENST00000360589.4	ANKRD53	NM_001115116.2
ENST00000215941.9	ANKRD54	NM_138797.4
ENST00000341048.9	ANKRD55	NM_024669.3
ENST00000339746.9	ANKRD6	NM_001242809.2
ENST00000409061.2	ANKRD61	NM_001271700.2
ENST00000587848.3	ANKRD62	NM_001277333.2
ENST00000537107.6	ANKRD65	NM_001145210.3
ENST00000265224.9	ANKRD7	NM_019644.4
ENST00000286918.9	ANKRD9	NM_152326.4
ENST00000360359.5	ANKS1A	NM_015245.3
ENST00000304283.9	ANKS3	NM_133450.4
ENST00000311620.7	ANKS4B	NM_145865.3
ENST00000353234.5	ANKS6	NM_173551.5
ENST00000446160.7	ANKUB1	NM_001144960.3
ENST00000323348.10	ANKZF1	NM_018089.3
ENST00000265748.7	ANLN	NM_018685.5
ENST00000292246.8	ANO10	NM_018075.5
ENST00000256737.8	ANO3	NM_031418.4
ENST00000392977.8	ANO4	NM_001286615.2
ENST00000324559.9	ANO5	NM_213599.3
ENST00000320560.13	ANO6	NM_001025356.3
ENST00000159087.7	ANO8	NM_020959.3
ENST00000332826.7	ANO9	NM_001012302.3
ENST00000262648.8	ANOS1	NM_000216.4
ENST00000465139.6	ANP32A	NM_006305.4
ENST00000339399.5	ANP32B	NM_006401.3
ENST00000266594.4	ANP32D	NM_012404.3
ENST00000583931.6	ANP32E	NM_030920.5
ENST00000300060.7	ANPEP	NM_001150.3
ENST00000569529.6	ANTKMT	NM_023933.3
ENST00000303714.9	ANTXR1	NM_032208.3
ENST00000403729.7	ANTXR2	NM_058172.6
ENST00000257497.11	ANXA1	NM_000700.3
ENST00000359299.8	ANXA10	NM_007193.5
ENST00000422982.8	ANXA11	NM_145868.2
ENST00000419625.6	ANXA13	NM_004306.4
ENST00000451270.7	ANXA2	NM_004039.3
ENST00000616064.2	ANXA2R	NM_001014279.3
ENST00000264908.11	ANXA3	NM_005139.3
ENST00000394295.6	ANXA4	NM_001153.5
ENST00000296511.10	ANXA5	NM_001154.4
ENST00000354546.10	ANXA6	NM_001155.5
ENST00000372921.10	ANXA7	NM_001156.5
ENST00000585281.6	ANXA8	NM_001040084.3
ENST00000619162.5	ANXA8L1	NM_001098845.3
ENST00000368947.9	ANXA9	NM_003568.3
ENST00000617537.5	AOAH	NM_001637.4
ENST00000360937.9	AOC1	NM_001091.4
ENST00000253799.8	AOC2	NM_009590.4
ENST00000308423.7	AOC3	NM_003734.4
ENST00000374700.7	AOX1	NM_001159.4
ENST00000274000.10	AP1AR	NM_018569.6
ENST00000357586.7	AP1B1	NM_001127.4
ENST00000299980.9	AP1G1	NM_001128.6
ENST00000397120.8	AP1G2	NM_003917.5
ENST00000291439.8	AP1M1	NM_032493.4
ENST00000250244.11	AP1M2	NM_005498.5
ENST00000337619.11	AP1S1	NM_001283.5
ENST00000672987.1	AP1S2	NM_001272071.2
ENST00000396654.7	AP1S3	NM_001039569.2
ENST00000354293.10	AP2A1	NM_130787.3
ENST00000448903.7	AP2A2	NM_012305.4
ENST00000610402.5	AP2B1	NM_001030006.2
ENST00000292807.9	AP2M1	NM_004068.4
ENST00000263270.11	AP2S1	NM_004069.6
ENST00000255194.11	AP3B1	NM_003664.5
ENST00000535359.6	AP3B2	NM_001278512.2
ENST00000643116.3	AP3D1	NM_001261826.3
ENST00000355264.9	AP3M1	NM_012095.6
ENST00000396926.8	AP3M2	NM_006803.4
ENST00000316788.12	AP3S1	NM_001284.4
ENST00000336418.9	AP3S2	NM_005829.5
ENST00000369569.6	AP4B1	NM_001253852.3
ENST00000261842.10	AP4E1	NM_007347.5
ENST00000359593.9	AP4M1	NM_004722.4
ENST00000542754.7	AP4S1	NM_001128126.3
ENST00000532090.3	AP5B1	NM_138368.5
ENST00000261558.8	AP5M1	NM_018229.4
ENST00000615891.2	AP5S1	NM_018347.3
ENST00000649063.2	AP5Z1	NM_014855.3
ENST00000551964.6	APAF1	NM_181861.2
ENST00000265381.7	APBA1	NM_001163.4
ENST00000316757.4	APBA3	NM_004886.4
ENST00000609360.6	APBB1	NM_001164.5
ENST00000376236.9	APBB1IP	NM_019043.4
ENST00000508593.6	APBB2	NM_004307.2
ENST00000357560.9	APBB3	NM_133173.3
ENST00000257430.9	APC	NM_000038.6
ENST00000590469.6	APC2	NM_005883.3
ENST00000355285.10	APCDD1	NM_153000.5
ENST00000371149.8	APCDD1L	NM_153360.3
ENST00000255040.3	APCS	NM_001639.4
ENST00000296456.10	APEH	NM_001640.4
ENST00000507152.6	APELA	NM_001297550.2
ENST00000216714.8	APEX1	NM_001641.4
ENST00000374987.4	APEX2	NM_014481.4
ENST00000369109.8	APH1A	NM_001077628.3
ENST00000261879.10	APH1B	NM_031301.4
ENST00000531273.6	API5	NM_001142930.2
ENST00000395787.4	APIP	NM_015957.4
ENST00000303795.9	APLF	NM_173545.3
ENST00000429967.3	APLN	NM_017413.5
ENST00000221891.9	APLP1	NM_001024807.3
ENST00000338167.10	APLP2	NM_001142276.2
ENST00000217456.3	APMAP	NM_020531.3
ENST00000236850.5	APOA1	NM_000039.3
ENST00000367990.7	APOA2	NM_001643.2
ENST00000357780.5	APOA4	NM_000482.4
ENST00000227665.9	APOA5	NM_001371904.1
ENST00000233242.5	APOB	NM_000384.3
ENST00000229304.5	APOBEC1	NM_001644.5
ENST00000244669.3	APOBEC2	NM_006789.4
ENST00000249116.7	APOBEC3A	NM_145699.4
ENST00000333467.4	APOBEC3B	NM_004900.5
ENST00000361441.5	APOBEC3C	NM_014508.3
ENST00000216099.13	APOBEC3D	NM_152426.4
ENST00000308521.10	APOBEC3F	NM_145298.6
ENST00000407997.4	APOBEC3G	NM_021822.4
ENST00000442487.8	APOBEC3H	NM_181773.5
ENST00000308641.6	APOBEC4	NM_203454.3
ENST00000564831.6	APOBR	NM_018690.4
ENST00000252490.7	APOC2	NM_000483.5
ENST00000227667.8	APOC3	NM_000040.3
ENST00000592954.2	APOC4	NM_001646.3
ENST00000343267.8	APOD	NM_001647.4
ENST00000252486.9	APOE	NM_000041.4
ENST00000398189.4	APOF	NM_001638.4
ENST00000205948.11	APOH	NM_000042.3
ENST00000397278.8	APOL1	NM_003661.4
ENST00000358502.10	APOL2	NM_030882.4
ENST00000249044.2	APOL5	NM_030642.1
ENST00000409652.5	APOL6	NM_030641.4
ENST00000356591.5	APOLD1	NM_030817.3
ENST00000375916.4	APOM	NM_019101.3
ENST00000379226.9	APOO	NM_024122.5
ENST00000373173.7	APOOL	NM_198450.6
ENST00000346798.8	APP	NM_000484.4
ENST00000083182.8	APPBP2	NM_006380.5
ENST00000288266.8	APPL1	NM_012096.3
ENST00000258530.8	APPL2	NM_018171.5
ENST00000378364.8	APRT	NM_000485.3
ENST00000379817.7	APTX	NM_001195248.2
ENST00000311813.11	AQP1	NM_198098.4
ENST00000324978.8	AQP10	NM_080429.3
ENST00000313578.4	AQP11	NM_173039.3
ENST00000337801.9	AQP12A	NM_198998.3
ENST00000407834.4	AQP12B	NM_001102467.2
ENST00000199280.4	AQP2	NM_000486.6
ENST00000297991.6	AQP3	NM_004925.5
ENST00000383168.9	AQP4	NM_001650.7
ENST00000293599.7	AQP5	NM_001651.4
ENST00000315520.10	AQP6	NM_001652.4
ENST00000297988.6	AQP7	NM_001170.3
ENST00000219660.6	AQP8	NM_001169.3
ENST00000219919.9	AQP9	NM_020980.5
ENST00000156471.10	AQR	NM_014691.3
ENST00000374690.9	AR	NM_000044.6
ENST00000377045.9	ARAF	NM_001654.5
ENST00000393609.8	ARAP1	NM_001040118.3
ENST00000303965.9	ARAP2	NM_015230.4
ENST00000239440.9	ARAP3	NM_022481.6
ENST00000356613.4	ARC	NM_015193.5
ENST00000264028.5	ARCN1	NM_001655.5
ENST00000395748.8	AREG	NM_001657.4
ENST00000356357.9	AREL1	NM_001039479.2
ENST00000272102.10	ARF1	NM_001658.4
ENST00000256682.9	ARF3	NM_001659.3
ENST00000303436.11	ARF4	NM_001660.4
ENST00000000233.10	ARF5	NM_001662.4
ENST00000298316.7	ARF6	NM_001663.4
ENST00000370283.9	ARFGAP1	NM_018209.4
ENST00000524782.6	ARFGAP2	NM_032389.6
ENST00000263245.10	ARFGAP3	NM_014570.5
ENST00000262215.8	ARFGEF1	NM_006421.5
ENST00000371917.5	ARFGEF2	NM_006420.3
ENST00000251691.5	ARFGEF3	NM_020340.5
ENST00000353617.7	ARFIP1	NM_001025595.3
ENST00000396777.8	ARFIP2	NM_001376558.2
ENST00000622789.5	ARFRP1	NM_001267547.3
ENST00000368087.8	ARG1	NM_000045.4
ENST00000261783.4	ARG2	NM_001172.4
ENST00000334384.5	ARGFX	NM_001012659.2
ENST00000400198.8	ARGLU1	NM_018011.4
ENST00000311956.9	ARHGAP1	NM_004308.5
ENST00000336498.8	ARHGAP10	NM_024605.4
ENST00000361627.8	ARHGAP11A	NM_014783.6
ENST00000344936.7	ARHGAP12	NM_018287.7
ENST00000295095.11	ARHGAP15	NM_018460.4
ENST00000289968.11	ARHGAP17	NM_001006634.3
ENST00000368149.3	ARHGAP18	NM_033515.3
ENST00000358531.9	ARHGAP19	NM_032900.6
ENST00000396432.7	ARHGAP21	NM_020824.4
ENST00000249601.9	ARHGAP22	NM_021226.4
ENST00000622683.5	ARHGAP23	NM_001199417.2
ENST00000395184.6	ARHGAP24	NM_001025616.3
ENST00000409202.8	ARHGAP25	NM_001007231.3
ENST00000645722.2	ARHGAP26	NM_001135608.3
ENST00000383472.9	ARHGAP28	NM_001366230.1
ENST00000260526.11	ARHGAP29	NM_004815.4
ENST00000368013.8	ARHGAP30	NM_001025598.2
ENST00000264245.9	ARHGAP31	NM_020754.4
ENST00000672722.1	ARHGAP35	NM_004491.5
ENST00000276211.10	ARHGAP36	NM_144967.4
ENST00000350060.10	ARHGAP4	NM_001666.5
ENST00000298815.13	ARHGAP42	NM_152432.4
ENST00000379672.10	ARHGAP44	NM_014859.6
ENST00000313093.7	ARHGAP45	NM_012292.5
ENST00000345122.8	ARHGAP5	NM_001030055.2
ENST00000337414.9	ARHGAP6	NM_013427.3
ENST00000356099.11	ARHGAP8	NM_181335.3
ENST00000393791.8	ARHGAP9	NM_032496.4
ENST00000269321.12	ARHGDIA	NM_004309.6
ENST00000228945.9	ARHGDIB	NM_001175.7
ENST00000219409.8	ARHGDIG	NM_001176.4
ENST00000354532.8	ARHGEF1	NM_004706.4
ENST00000349830.8	ARHGEF10	NM_014629.4
ENST00000361221.8	ARHGEF10L	NM_018125.4
ENST00000368194.8	ARHGEF11	NM_198236.3
ENST00000397843.7	ARHGEF12	NM_015313.3
ENST00000361926.8	ARHGEF15	NM_173728.4
ENST00000378378.9	ARHGEF16	NM_014448.4
ENST00000263674.4	ARHGEF17	NM_014786.4
ENST00000668164.2	ARHGEF18	NM_001367823.1
ENST00000270747.8	ARHGEF19	NM_153213.5
ENST00000361247.9	ARHGEF2	NM_001162383.2
ENST00000286494.9	ARHGEF25	NM_182947.4
ENST00000465093.6	ARHGEF26	NM_015595.4
ENST00000296315.8	ARHGEF3	NM_019555.3
ENST00000409978.7	ARHGEF33	NM_001145451.5
ENST00000378115.3	ARHGEF35	NM_001003702.3
ENST00000333677.7	ARHGEF37	NM_001001669.3
ENST00000420470.3	ARHGEF38	NM_001242729.2
ENST00000378387.4	ARHGEF39	NM_032818.3
ENST00000409359.7	ARHGEF4	NM_001367493.1
ENST00000298694.9	ARHGEF40	NM_018071.5
ENST00000056217.10	ARHGEF5	NM_005435.4
ENST00000250617.7	ARHGEF6	NM_004840.3
ENST00000671741.2	ARHGEF9	NM_001353921.2
ENST00000324856.13	ARID1A	NM_006015.6
ENST00000636930.2	ARID1B	NM_001374828.1
ENST00000334344.11	ARID2	NM_152641.4
ENST00000263620.8	ARID3A	NM_005224.3
ENST00000346246.10	ARID3B	NM_006465.4
ENST00000355431.8	ARID4A	NM_002892.4
ENST00000264183.9	ARID4B	NM_016374.6
ENST00000357485.8	ARID5A	NM_212481.3
ENST00000279873.12	ARID5B	NM_032199.3
ENST00000379887.9	ARIH1	NM_005744.5
ENST00000356401.9	ARIH2	NM_006321.4
ENST00000261636.13	ARL1	NM_001177.6
ENST00000310389.6	ARL10	NM_173664.6
ENST00000282026.2	ARL11	NM_138450.6
ENST00000450049.7	ARL13A	NM_001162491.2
ENST00000394222.8	ARL13B	NM_001174150.2
ENST00000320767.4	ARL14	NM_025047.3
ENST00000282032.4	ARL14EP	NM_152316.3
ENST00000504924.6	ARL15	NM_019087.3
ENST00000622299.5	ARL16	NM_001040025.3
ENST00000336125.6	ARL17A	NM_001113738.2
ENST00000450673.4	ARL17B	NM_001039083.5
ENST00000246747.9	ARL2	NM_001667.4
ENST00000219204.8	ARL2BP	NM_012106.4
ENST00000260746.6	ARL3	NM_004311.4
ENST00000651779.1	ARL4A	NM_005738.5
ENST00000339728.6	ARL4C	NM_001282431.2
ENST00000320033.5	ARL4D	NM_001661.4
ENST00000295087.13	ARL5A	NM_012097.4
ENST00000377275.4	ARL5B	NM_178815.5
ENST00000269586.12	ARL5C	NM_001143968.1
ENST00000463745.6	ARL6	NM_001278293.3
ENST00000304414.12	ARL6IP1	NM_015161.3
ENST00000273258.4	ARL6IP5	NM_006407.4
ENST00000326446.10	ARL6IP6	NM_152522.7
ENST00000272217.7	ARL8A	NM_138795.4
ENST00000256496.8	ARL8B	NM_018184.3
ENST00000640821.3	ARL9	NM_001363794.2
ENST00000276569.8	ARMC1	NM_018120.6
ENST00000323716.8	ARMC10	NM_031905.5
ENST00000373866.4	ARMC12	NM_001286574.2
ENST00000392644.9	ARMC2	NM_032131.6
ENST00000298032.10	ARMC3	NM_173081.5
ENST00000305242.10	ARMC4	NM_018076.5
ENST00000268314.9	ARMC5	NM_001105247.2
ENST00000535612.6	ARMC6	NM_001199196.2
ENST00000245543.6	ARMC7	NM_024585.4
ENST00000469044.6	ARMC8	NM_001363941.2
ENST00000611582.5	ARMC9	NM_001352754.2
ENST00000372829.8	ARMCX1	NM_016608.2
ENST00000356824.9	ARMCX2	NM_177949.4
ENST00000471229.7	ARMCX3	NM_177947.3
ENST00000361910.9	ARMCX6	NM_019007.4
ENST00000535358.6	ARMH1	NM_001145636.2
ENST00000565469.4	ARMH2	NM_001282492.2
ENST00000370033.9	ARMH3	NM_024541.3
ENST00000267485.7	ARMH4	NM_001001872.4
ENST00000528446.1	ARMS2	NM_001099667.3
ENST00000367294.4	ARMT1	NM_024573.3
ENST00000358595.10	ARNT	NM_001668.4
ENST00000303329.9	ARNT2	NM_014862.4
ENST00000403290.6	ARNTL	NM_001297719.2
ENST00000262942.10	ARPC1A	NM_006409.4
ENST00000646101.2	ARPC1B	NM_005720.4
ENST00000315717.10	ARPC2	NM_152862.3
ENST00000228825.12	ARPC3	NM_001278556.2
ENST00000397261.8	ARPC4	NM_005718.5
ENST00000359856.11	ARPC5	NM_005717.4
ENST00000353214.6	ARPC5L	NM_030978.3
ENST00000357484.10	ARPIN	NM_182616.4
ENST00000249822.9	ARPP19	NM_006628.6
ENST00000307959.9	ARR3	NM_004312.3
ENST00000420843.7	ARRB1	NM_004041.5
ENST00000269260.7	ARRB2	NM_004313.4
ENST00000371421.9	ARRDC1	NM_152285.4
ENST00000222250.5	ARRDC2	NM_015683.2
ENST00000265138.4	ARRDC3	NM_020801.4
ENST00000268042.7	ARRDC4	NM_183376.3
ENST00000650722.2	ARRDC5	NM_001080523.3
ENST00000216124.10	ARSA	NM_000487.6
ENST00000264914.10	ARSB	NM_000046.5
ENST00000381154.6	ARSD	NM_001669.4
ENST00000381127.6	ARSF	NM_001201539.2
ENST00000621439.5	ARSG	NM_001267727.2
ENST00000381130.3	ARSH	NM_001011719.2
ENST00000328668.8	ARSI	NM_001012301.4
ENST00000315366.8	ARSJ	NM_024590.4
ENST00000380009.9	ARSK	NM_198150.3
ENST00000381134.9	ARSL	NM_000047.3
ENST00000250693.2	ART1	NM_004314.3
ENST00000355810.9	ART3	NM_001130016.3
ENST00000228936.6	ART4	NM_021071.4
ENST00000397068.8	ART5	NM_053017.5
ENST00000372359.10	ARTN	NM_057091.3
ENST00000310256.7	ARV1	NM_022786.3
ENST00000263207.8	ARVCF	NM_001670.3
ENST00000379044.5	ARX	NM_139058.3
ENST00000369880.8	AS3MT	NM_020682.4
ENST00000637790.2	ASAH1	NM_177924.5
ENST00000647317.2	ASAH2B	NM_001321958.2
ENST00000518721.6	ASAP1	NM_018482.4
ENST00000281419.8	ASAP2	NM_003887.3
ENST00000336689.8	ASAP3	NM_017707.4
ENST00000264607.9	ASB1	NM_001040445.3
ENST00000420175.3	ASB10	NM_001142459.2
ENST00000480796.6	ASB11	NM_080873.3
ENST00000362002.3	ASB12	NM_130388.4
ENST00000357700.11	ASB13	NM_024701.4
ENST00000487349.6	ASB14	NM_001142733.3
ENST00000451215.6	ASB15	NM_001290258.2
ENST00000293414.6	ASB16	NM_080863.5
ENST00000284142.7	ASB17	NM_080868.3
ENST00000555019.6	ASB2	NM_001202429.2
ENST00000263634.8	ASB3	NM_016115.5
ENST00000325885.6	ASB4	NM_016116.3
ENST00000296525.7	ASB5	NM_080874.4
ENST00000277458.5	ASB6	NM_017873.4
ENST00000332783.12	ASB7	NM_198243.3
ENST00000317697.8	ASB8	NM_024095.5
ENST00000380488.9	ASB9	NM_001031739.3
ENST00000672957.1	ASCC1	NM_001198800.3
ENST00000307790.8	ASCC2	NM_032204.5
ENST00000369162.7	ASCC3	NM_006828.4
ENST00000266744.4	ASCL1	NM_004316.4
ENST00000331289.5	ASCL2	NM_005170.3
ENST00000607829.6	ASDURF	NM_001353493.2
ENST00000229595.6	ASF1A	NM_014034.3
ENST00000263382.8	ASF1B	NM_018154.3
ENST00000269299.8	ASGR1	NM_001671.5
ENST00000392403.8	ASH1L	NM_018489.3
ENST00000343823.11	ASH2L	NM_004674.5
ENST00000447966.7	ASIC1	NM_001095.4
ENST00000225823.7	ASIC2	NM_183377.2
ENST00000349064.10	ASIC3	NM_004769.4
ENST00000358078.5	ASIC4	NM_018674.6
ENST00000537611.3	ASIC5	NM_017419.3
ENST00000304874.14	ASL	NM_000048.4
ENST00000381241.9	ASMT	NM_001171038.2
ENST00000381317.9	ASMTL	NM_004192.4
ENST00000394308.8	ASNS	NM_001673.5
ENST00000260952.9	ASNSD1	NM_019048.4
ENST00000263080.3	ASPA	NM_000049.4
ENST00000389208.9	ASPDH	NM_001114598.2
ENST00000551177.6	ASPG	NM_001080464.3
ENST00000379454.9	ASPH	NM_004318.4
ENST00000308748.10	ASPHD1	NM_181718.4
ENST00000215906.6	ASPHD2	NM_020437.5
ENST00000367409.9	ASPM	NM_018136.5
ENST00000306739.9	ASPSCR1	NM_024083.4
ENST00000415229.6	ASRGL1	NM_001083926.2
ENST00000352480.10	ASS1	NM_054012.4
ENST00000264992.8	ASTE1	NM_014065.4
ENST00000361833.7	ASTN1	NM_004319.3
ENST00000313400.9	ASTN2	NM_001365068.1
ENST00000375687.10	ASXL1	NM_015338.6
ENST00000435504.9	ASXL2	NM_018263.6
ENST00000269197.12	ASXL3	NM_030632.3
ENST00000284629.7	ASZ1	NM_130768.3
ENST00000680024.1	ATAD1	NM_001321967.2
ENST00000287394.10	ATAD2	NM_014109.4
ENST00000238789.10	ATAD2B	NM_017552.4
ENST00000378756.8	ATAD3A	NM_001170535.3
ENST00000673477.1	ATAD3B	NM_031921.6
ENST00000378785.7	ATAD3C	NM_001039211.3
ENST00000321990.5	ATAD5	NM_024857.5
ENST00000330083.6	ATAT1	NM_001031722.4
ENST00000450849.7	ATCAY	NM_033064.5
ENST00000262053.8	ATF1	NM_005171.5
ENST00000264110.7	ATF2	NM_001880.4
ENST00000341491.9	ATF3	NM_001674.4
ENST00000367942.4	ATF6	NM_007348.4
ENST00000375203.8	ATF6B	NM_004381.5
ENST00000420353.7	ATF7	NM_006856.3
ENST00000282185.8	ATG10	NM_031482.5
ENST00000509910.2	ATG12	NM_004707.4
ENST00000247178.6	ATG14	NM_014924.5
ENST00000392017.9	ATG16L1	NM_030803.7
ENST00000321297.10	ATG16L2	NM_033388.2
ENST00000377264.8	ATG2A	NM_015104.3
ENST00000359933.6	ATG2B	NM_018036.7
ENST00000283290.10	ATG3	NM_022488.5
ENST00000372232.8	ATG4A	NM_052936.5
ENST00000404914.8	ATG4B	NM_013325.5
ENST00000317868.9	ATG4C	NM_032852.4
ENST00000309469.9	ATG4D	NM_032885.6
ENST00000369076.8	ATG5	NM_004849.4
ENST00000361242.9	ATG9A	NM_001077198.3
ENST00000236959.14	ATIC	NM_004044.7
ENST00000358385.12	ATL1	NM_015915.5
ENST00000378954.9	ATL2	NM_001135673.4
ENST00000398868.8	ATL3	NM_015459.5
ENST00000675843.1	ATM	NM_000051.4
ENST00000299575.5	ATMIN	NM_015251.3
ENST00000396684.3	ATN1	NM_001940.4
ENST00000306011.6	ATOH1	NM_005172.2
ENST00000373673.5	ATOH7	NM_145178.4
ENST00000306279.4	ATOH8	NM_032827.7
ENST00000313115.11	ATOX1	NM_004045.4
ENST00000327245.10	ATP10B	NM_025153.3
ENST00000273859.8	ATP10D	NM_020453.4
ENST00000323116.10	ATP11B	NM_014616.3
ENST00000381946.5	ATP12A	NM_001676.7
ENST00000357324.11	ATP13A1	NM_020410.3
ENST00000326735.13	ATP13A2	NM_022089.4
ENST00000645319.2	ATP13A3	NM_001367549.1
ENST00000342695.9	ATP13A4	NM_032279.4
ENST00000342358.9	ATP13A5	NM_198505.4
ENST00000295598.10	ATP1A1	NM_000701.8
ENST00000361216.8	ATP1A2	NM_000702.4
ENST00000648268.1	ATP1A3	NM_152296.5
ENST00000368081.9	ATP1A4	NM_144699.4
ENST00000367815.9	ATP1B1	NM_001677.4
ENST00000250111.9	ATP1B2	NM_001678.5
ENST00000286371.8	ATP1B3	NM_001679.4
ENST00000218008.8	ATP1B4	NM_001142447.3
ENST00000300145.4	ATP23	NM_033276.4
ENST00000395503.9	ATP2A1	NM_004320.6
ENST00000539276.7	ATP2A2	NM_170665.4
ENST00000397041.8	ATP2A3	NM_005173.4
ENST00000428670.8	ATP2B1	NM_001366521.1
ENST00000360273.7	ATP2B2	NM_001001331.4
ENST00000357681.10	ATP2B4	NM_001684.5
ENST00000510168.6	ATP2C1	NM_001378687.1
ENST00000262429.9	ATP2C2	NM_014861.4
ENST00000262623.4	ATP4A	NM_000704.3
ENST00000335288.5	ATP4B	NM_000705.4
ENST00000398752.11	ATP5F1A	NM_004046.6
ENST00000262030.8	ATP5F1B	NM_001686.4
ENST00000356708.12	ATP5F1C	NM_001001973.3
ENST00000215375.7	ATP5F1D	NM_001687.5
ENST00000243997.8	ATP5F1E	NM_006886.4
ENST00000335514.10	ATP5IF1	NM_016311.5
ENST00000393366.7	ATP5MC1	NM_005175.3
ENST00000394349.9	ATP5MC2	NM_005176.7
ENST00000284727.9	ATP5MC3	NM_001689.5
ENST00000369815.6	ATP5MD	NM_001206427.2
ENST00000304312.5	ATP5ME	NM_007100.4
ENST00000292475.8	ATP5MF	NM_004889.5
ENST00000300688.8	ATP5MG	NM_006476.5
ENST00000505920.1	ATP5MGL	NM_001165877.1
ENST00000286953.8	ATP5MPL	NM_004894.3
ENST00000369722.8	ATP5PB	NM_001688.5
ENST00000301587.9	ATP5PD	NM_006356.3
ENST00000284971.8	ATP5PF	NM_001003703.2
ENST00000290299.7	ATP5PO	NM_001697.3
ENST00000369762.7	ATP6AP1	NM_001183.6
ENST00000636580.2	ATP6AP2	NM_005765.3
ENST00000343619.9	ATP6V0A1	NM_001130021.3
ENST00000330342.8	ATP6V0A2	NM_012463.4
ENST00000310018.7	ATP6V0A4	NM_020632.3
ENST00000472174.7	ATP6V0B	NM_004047.5
ENST00000330398.9	ATP6V0C	NM_001694.4
ENST00000290949.8	ATP6V0D1	NM_004691.5
ENST00000285393.4	ATP6V0D2	NM_152565.1
ENST00000519374.6	ATP6V0E1	NM_003945.4
ENST00000273398.8	ATP6V1A	NM_001690.4
ENST00000234396.10	ATP6V1B1	NM_001692.4
ENST00000276390.7	ATP6V1B2	NM_001693.4
ENST00000518738.2	ATP6V1C1	NM_001695.5
ENST00000272238.9	ATP6V1C2	NM_001039362.2
ENST00000216442.12	ATP6V1D	NM_015994.4
ENST00000253413.10	ATP6V1E1	NM_001696.4
ENST00000522587.6	ATP6V1E2	NM_001318063.2
ENST00000249289.5	ATP6V1F	NM_004231.4
ENST00000609480.4	ATP6V1FNB	NM_001195150.3
ENST00000374050.4	ATP6V1G1	NM_004888.4
